,Date,Text,Compound,Positive,Negative,Neutral
87,2022-06-20,Chinas central bank kept benchmark lending rates steady at its monthly fixing on Monday as Beijing again held off from aggressively stimulating its floundering economy at a time when many other count… [+1035 chars],0.1531,0.078,0.062,0.86
88,2022-06-20,"Associated British Foods PLC said Monday that revenue for its fiscal third quarter increased, with Primark revenue beating prepandemic levels, and said it will trial a click-and-collect service in so… [+1209 chars]",-0.2263,0.06,0.085,0.855
89,2022-06-20,Euromoney Institutional Investor PLC said Monday that it is in talks with a consortium comprising private equity company Astorg Asset Management S.ar.l and Epiris LLP over a potential 1.6 billion pou… [+676 chars],0.3612,0.072,0.0,0.928
90,2022-06-21,Valneva SEs shares continue to trade higher on Tuesday following news that U.S. peer Pfizer Inc. has agreed to acquire a stake in the French vaccines company.The deal is set to support an already exi… [+873 chars],0.7184,0.171,0.0,0.829
91,2022-06-21,"Leonardo SpA said Tuesday that it has agreed to merge its U.S. business with Rada Electronic Industries Ltd. in an all-stock transaction that will create a newly listed company.
The Italian helicopt… [+845 chars]",0.4939,0.116,0.0,0.884
92,2022-06-22,"Credit Agricole SA said it aims to produce net income of more than 6 billion euros ($6.32 billion) as part of a new strategic plan to 2025.
The French lender 
 ACA,
 +2.06%
said it will aim to ad… [+781 chars]",0.3818,0.062,0.0,0.938
93,2022-06-22,"Inflation in the U.K. quickened slightly to a new four-decade high in May due to rising energy and food costs, with little prospect of the trend easing in coming months.
The consumer-price indexwhic… [+1076 chars]",0.6133,0.158,0.0,0.842
94,2022-06-22,"Shares of Dow Inc. sank Wednesday to the lowest level seen since early 2021, after Credit Suisse analyst John Roberts recommended investors sell, citing concerns the specialty chemicals company is li… [+2232 chars]",0.4588,0.173,0.068,0.759
95,2022-06-22,"U.S. crude-oil stockpiles are expected to have declined from the previous week in data initially due Thursday but now delayed by the Energy Department, according to a survey of analysts and traders b… [+1480 chars]",0.0772,0.07,0.062,0.868
96,2022-06-23,"BEIJING/HONG KONG, June 23 (Reuters) - Asian shares wobbled while commodity prices fell on Thursday as mounting worries about the risks of a global recession amid aggressive rate hikes by the Federal… [+3150 chars]",-0.7269,0.054,0.23,0.716
97,2022-06-23,"Norways central bank unexpectedly raised its key policy rate to 1.25% from 0.75% on Thursday, and said it expects to raise the rate further to 1.50% in August. Analysts polled by The Wall Street Jour… [+998 chars]",0.0,0.0,0.0,1.0
98,2022-06-24,"Shares of German online retailer Zalando SE plunged in Friday morning trading a day after the company reported a weaker-than-expected second quarter, which led it to cut forecasts for the year as con… [+1849 chars]",0.0258,0.059,0.056,0.885
99,2022-06-24,Business confidence in Germany worsened in June as firms in the manufacturing and retail sectors turned more pessimistic due to rising costs and the threat of gas shortages.The Ifo business-climate i… [+872 chars],-0.6997,0.08,0.22,0.701
